Simulated,Estimated,aic,bic,nll,wins,bicp,best
9,11,15146.5943582367,16465.9213048559,7173.29717911834,0,0.3,0
9,12,14970.3510978415,16289.6780444607,7085.17554892073,0,0.3,0
9,13,20658.0579478307,21317.7214211403,10129.0289739153,0,1.8,0
9,14,19403.859578634,20063.5230519436,9501.929789317,0,1.4,0
9,15,19200.2384161251,19859.9018894347,9400.11920806257,0,10.2,0
9,16,19911.9943057293,20901.4895156937,9655.99715286465,0,0.1,0
9,17,18498.6772259338,19488.1724358983,8949.33861296692,0,0.3,0
9,18,18383.0651631472,19372.5603731116,8891.53258157361,0,0.5,0
9,19,17343.2409968145,18332.7362067789,8371.62049840725,0,0.8,0
9,20,15107.7593386461,16097.2545486105,7253.87966932306,0,10.7,0
9,21,14965.6966206419,15955.1918306063,7182.84831032096,0,18.5,0
9,22,17188.1278989144,18507.4548455336,8194.06394945719,0,0,0
9,23,15326.5864257996,16645.9133724188,7263.29321289978,0,0.1,0
9,24,15078.355849586,16397.6827962052,7139.17792479299,0,0.1,0
9,25,23166.8066692696,23826.4701425792,11383.4033346348,0,0.9,0
9,26,21936.1181082216,22925.613318186,10668.0590541108,0,0,0
9,27,23225.1101238961,24214.6053338605,11312.555061948,0,0.1,0
9,28,21828.2519836923,23147.5789303115,10514.1259918461,0,0,0
9,29,19634.6818042086,20624.177014173,9517.34090210428,0,0,0
9,30,19530.410806066,20519.9060160305,9465.20540303303,0,0,0
9,31,19287.3584677446,20276.853677709,9343.67923387229,0,0.3,0
9,32,18732.1490001935,20051.4759468127,8966.07450009673,0,0,0
9,33,18548.7796211501,19868.1065677693,8874.38981057506,0,0,0
9,34,18375.9669714008,19695.29391802,8787.98348570038,0,0,0
9,35,15367.0187087702,17016.1773920442,7183.50935438511,0,0,0
9,36,15245.7033407184,16894.8620239925,7122.85167035922,0,0.1,0
9,37,15101.4647320512,16750.6234153252,7050.7323660256,0,0.1,0
9,38,15480.7080922291,17459.698512158,7140.35404611457,0,0,0
9,39,15373.3598972387,17352.3503171675,7086.67994861935,0,0,0
9,40,15238.8456284506,17217.8360483794,7019.4228142253,0,0,0
10,1,9537.54137792639,10197.204851236,4568.77068896319,0,9.3,0
10,2,11955.7568127329,12615.4202860425,5777.87840636644,0,0,0
10,3,12849.3300755233,13508.9935488329,6224.66503776165,0,0,0
10,4,7386.45694046769,8375.9521504321,3393.22847023384,0,5.9,0
10,5,10674.9035094853,11664.3987194497,5037.45175474265,0,0.1,0
10,6,11619.4547458158,12608.9499557803,5509.72737290792,0,0,0
10,7,3898.92369235654,4888.41890232095,1649.46184617827,0.7,39.9,7
10,8,8950.46855765665,9939.96376762106,4175.23427882833,0,0,0
10,9,9872.98812977201,10862.4833397364,4636.49406488601,0,0,0
10,10,3661.72362473142,4981.05057135063,1430.86181236571,0.3,5.7,3
10,11,8695.39823245875,10014.725179078,3947.69911622937,0,0,0
10,12,9688.12691688509,11007.4538635043,4444.06345844255,0,0,0
10,13,9613.82525728648,10273.4887305961,4606.91262864324,0,6.4,0
10,14,10087.9662845776,10747.6297578872,4843.98314228882,0,0.2,0
10,15,10710.5399293776,11370.2034026872,5155.26996468879,0,0,0
10,16,7320.54554567263,8310.04075563704,3360.27277283631,0,3.5,0
10,17,8198.03481702035,9187.53002698476,3799.01740851018,0,0.5,0
10,18,9093.22117229174,10082.7163822562,4246.61058614587,0,0,0
10,19,4355.49528858459,5344.990498549,1877.74764429229,0,24.3,0
10,20,5681.22539900982,6670.72060897423,2540.61269950491,0,1,0
10,21,6253.63602733784,7243.13123730225,2826.81801366892,0,0.1,0
10,22,3922.221316966,5241.54826358521,1561.110658483,0,2.6,0
10,23,5406.91221129159,6726.23915791081,2303.4561056458,0,0.1,0
10,24,6178.75466241412,7498.08160903334,2689.37733120706,0,0.1,0
10,25,10900.2186104748,11559.8820837844,5250.10930523741,0,0.1,0
10,26,9145.49093151476,10134.9861414792,4272.74546575738,0,0,0
10,27,9468.09378435735,10457.5889943218,4434.04689217868,0,0,0
10,28,7810.20167391674,9129.52862053595,3505.10083695837,0,0,0
10,29,9573.75136415331,10563.2465741177,4486.87568207666,0,0,0
10,30,10117.7992073958,11107.2944173602,4758.89960369788,0,0,0
10,31,10718.269858695,11707.7650686594,5059.13492934751,0,0,0
10,32,7414.16209247423,8733.48903909344,3307.08104623711,0,0,0
10,33,8191.96827746607,9511.29522408528,3695.98413873303,0,0,0
10,34,9088.52057380399,10407.8475204232,4144.26028690199,0,0,0
10,35,3872.32310826154,5521.48179153556,1436.16155413077,0,0.2,0
10,36,5515.71520546635,7164.87388874037,2257.85760273318,0,0,0
10,37,6299.94803133718,7949.1067146112,2649.97401566859,0,0,0
10,38,3969.27666083469,5948.26708076351,1384.63833041734,0,0,0
